30,Kitulgala,Adventure town known for white-water rafting,25,9,Free,N/A,6.9903,80.4228,Bus from Kegalle,January to April,null
31,Minneriya National Park,Wildlife park known for the elephant gathering,21,7,20,LKR,8.0379,80.9043,Bus from Polonnaruwa,May to October,null
32,Knuckles Mountain Range,Biodiversity hotspot with hiking trails,5,2,Free,N/A,7.4606,80.776,Bus from Matale,January to April,null
33,Sri Pada,Another name for Adams Peak,24,9,Free,N/A,6.8097,80.4995,Bus from Hatton or Ratnapura,December to May,null
34,Lankatilaka Vihara,Ancient Buddhist temple with unique architecture,4,2,Free,N/A,7.2789,80.5959,Bus from Kandy,January to April,null
35,Dondra Head Lighthouse,Southernmost point of Sri Lanka with panoramic views,8,3,Free,N/A,5.9205,80.5945,Bus from Matara,January to April,null
36,Ruwanwelisaya,Ancient stupa in Anuradhapura,20,7,Free,N/A,8.3515,80.3968,Bus from Anuradhapura,April to September,null
37,Koneswaram Temple,Hindu temple with stunning sea views,17,5,Free,N/A,8.5753,81.2325,Bus from Trincomalee,April to October,null
38,Kaudulla National Park,Wildlife park known for elephants and birds,21,7,20,LKR,8.2342,80.908,Bus from Habarana,May to October,null
39,Ambalangoda,Coastal town known for mask making,7,3,Free,N/A,6.2359,80.0543,Train from Colombo,January to April,null
40,Wasgamuwa National Park,Wildlife park with elephants and bears,5,2,20,LKR,7.7321,80.9233,Bus from Matale,January to April,null
41,Hikkaduwa,Beach town known for coral reefs and snorkeling,7,3,Free,N/A,6.1392,80.1041,Train from Colombo,November to April,null
42,Mulgirigala Raja Maha Vihara,Ancient rock temple with cave paintings,9,3,Free,N/A,6.1521,80.8113,Bus from Tangalle,January to April,null
43,Meemure,Remote village known for its scenic beauty and traditional lifestyle,4,2,Free,N/A,7.4784,80.8504,Bus from Kandy,January to April,null
44,Kudawella Blow Hole,Natural blowhole with impressive water spouts,9,3,Free,N/A,6.05,80.7886,Bus from Tangalle,January to April,null
45,Seethawaka Botanical Garden,Beautiful botanical garden with diverse flora,1,1,10,LKR,6.8348,80.1247,Bus from Colombo,January to April,null
46,Makandawa Forest Reserve,Biodiversity hotspot with trekking and bird watching,25,9,Free,N/A,6.9733,80.4391,Bus from Kegalle,January to April,null
47,Dunhinda Falls,Stunning waterfall near Badulla,22,8,Free,N/A,6.9973,81.0467,Bus from Badulla,January to April,null
48,Viharamahadevi Park,Largest public park in Colombo with playgrounds and fountains,1,1,Free,N/A,6.927,79.8662,Bus from anywhere in Colombo,November to April,null
49,Richmond Castle,Colonial mansion with beautiful architecture and gardens,3,1,Free,N/A,6.5854,79.9615,Bus from Kalutara,January to April,null
50,Jaya Sri Maha Bodhi,Sacred fig tree in Anuradhapura,20,7,Free,N/A,8.3464,80.396,Bus from Anuradhapura,April to September,null
51,Isurumuniya Vihara,Historic rock temple with beautiful carvings,20,7,Free,N/A,8.3496,80.4014,Bus from Anuradhapura,April to September,null
52,Parakrama Samudra,Ancient reservoir with scenic views,21,7,Free,N/A,7.9345,81.0181,Bus from Polonnaruwa,January to April,null
53,Mirijjawila Botanical Garden,Botanical garden with diverse flora and themed gardens,9,3,10,LKR,6.1522,81.1197,Bus from Hambantota,January to April,null
54,Thalpe,Beach town with natural rock pools,7,3,Free,N/A,5.981,80.2587,Bus from Galle,January to April,null
55,Dutch Canal,Historic canal used for transportation and irrigation,19,6,Free,N/A,8.002,79.8267,Boat tours available,January to April,null
56,Ussangoda,Coastal plateau with unique red soil,9,3,Free,N/A,6.1472,80.895,Bus from Tangalle,January to April,null
57,Diyaluma Falls,Second highest waterfall in Sri Lanka,22,8,Free,N/A,6.7567,81.017,Bus from Badulla,January to April,null
58,Kelani River,Scenic river with white-water rafting opportunities,25,9,Free,N/A,6.9803,80.4258,Bus from Kegalle,January to April,null
59,Moon Plains,Scenic plateau with panoramic views and wildlife,6,2,10,LKR,6.9468,80.7714,Bus from Nuwara Eliya,January to April,null
60,Mask Museum,Museum showcasing traditional Sri Lankan masks,7,3,Free,N/A,6.2359,80.0543,Train from Colombo,January to April,null
61,Ridi Vihara,Ancient Buddhist temple with beautiful frescoes,18,6,Free,N/A,7.5566,80.4485,Bus from Kurunegala,January to April,null
62,Independence Square,Historic square commemorating Sri Lanka's independence,1,1,Free,N/A,6.9148,79.8781,Bus from anywhere in Colombo,November to April,null
63,Bellanwila Rajamaha Viharaya,Ancient Buddhist temple with sacred Bodhi tree,1,1,Free,N/A,6.8358,79.8777,Bus from Colombo,January to April,null
64,Talangama Wetland,Urban wetland with rich birdlife,1,1,Free,N/A,6.8914,79.9091,Bus from Colombo,January to April,null
65,Bentota Beach,Coastal town with sandy beaches and water sports,7,3,Free,N/A,6.4255,80.0018,Train from Colombo,October to April,null
66,Ravana Falls,Scenic waterfall with legends related to the epic Ramayana,22,8,Free,N/A,6.8416,81.0502,Bus from Ella,January to April,null
67,Thambapanni,Historical site linked to the arrival of Prince Vijaya,19,6,Free,N/A,7.9894,79.8523,Bus from Chilaw,January to April,null
68,Kataragama,Sacred town with multi-religious temples,23,8,Free,N/A,6.4192,81.3337,Bus from Tissamaharama,January to April,null
69,Kanniya Hot Springs,Ancient hot springs with therapeutic properties,17,5,Free,N/A,8.57,81.2125,Bus from Trincomalee,April to October,null
70,Nilaveli Beach,Beautiful beach known for its clear waters and tranquility,17,5,Free,N/A,8.74,81.2228,Bus from Trincomalee,April to October,null
71,Kok River,Scenic river with boat safaris,10,4,Free,N/A,9.6615,80.0255,Bus from Jaffna,January to April,null
72,Muhudu Maha Viharaya,Ancient Buddhist temple on the beach,15,5,Free,N/A,7.24,81.8536,Bus from Ampara,April to October,null
73,Passikudah Beach,Beautiful beach known for its shallow waters,15,5,Free,N/A,7.9394,81.5581,Bus from Batticaloa,April to October,null
74,Gal Vihara,Ancient rock temple with Buddha statues,21,7,Free,N/A,7.9397,81.0017,Bus from Polonnaruwa,January to April,null
75,Lake Gregory,Scenic lake in Nuwara Eliya with boating activities,6,2,Free,N/A,6.9497,80.7891,Bus from Nuwara Eliya,January to April,null
76,Maduru Oya National Park,Wildlife park with elephants and ancient ruins,16,5,20,LKR,7.4333,81.235,Bus from Ampara,January to April,null
77,Abhayagiriya Stupa,Ancient stupa in Anuradhapura,20,7,Free,N/A,8.3542,80.3924,Bus from Anuradhapura,April to September,null
78,Ritigala,Ancient monastic complex with beautiful nature trails,20,7,Free,N/A,8.2361,80.5086,Bus from Anuradhapura,April to September,null
79,Nallur Kandaswamy Kovil,Hindu temple with vibrant annual festival,10,4,Free,N/A,9.6781,80.0206,Bus from Jaffna,January to April,null
80,Hakgala Botanical Garden,Beautiful botanical garden near Nuwara Eliya,6,2,10,LKR,6.9364,80.806,Bus from Nuwara Eliya,January to April,null
81,Victoria Park,Public park in Nuwara Eliya with beautiful flowers,6,2,Free,N/A,6.9671,80.7668,Walking distance from Nuwara Eliya,January to April,null
82,Elephant Rock,Rock formation with panoramic views,15,5,Free,N/A,6.8382,81.8383,Bus from Pottuvil,April to October,null
83,Dutch Hospital Shopping,Historic building converted into shopping and dining complex,1,1,Free,N/A,6.9335,79.8425,Walking distance from Colombo Fort,November to April,null
84,Koggala Lake,Scenic lake with islands and bird watching,7,3,Free,N/A,5.9903,80.3331,Bus from Galle,January to April,null
85,Udawatta Kele Sanctuary,Nature reserve with rich biodiversity near Kandy,4,2,10,LKR,7.2996,80.6405,Walking distance from Kandy city,December to April,null
86,Madhu Church,Historic Catholic church with annual feast,12,4,Free,N/A,8.9532,79.9237,Bus from Mannar,January to April,null
87,Brief Garden,Beautiful garden with unique sculptures and plants,3,1,5,LKR,6.5368,80.0123,Bus from Kalutara,January to April,null
88,Kalametiya Bird Sanctuary,Coastal wetland with rich birdlife,9,3,Free,N/A,6.1097,80.8993,Bus from Tangalle,January to April,null
89,Mannar Island,Island known for its scenic beaches and migratory birds,12,4,Free,N/A,9,79.9,Bus from Mannar,January to April,null
90,Pidurangala Rock,Rock formation with panoramic views and ancient temple,5,2,5,LKR,7.952,80.7588,Bus from Sigiriya,January to April,null
91,Mihintale,Sacred mountain with ancient monastic complex,20,7,Free,N/A,8.3521,80.51,Bus from Anuradhapura,April to September,null
92,Bundala National Park,Coastal wetland with rich birdlife,9,3,20,LKR,6.2111,81.1798,Bus from Hambantota,December to April,null
93,Yala East National Park,Wildlife park known for elephants and leopards,16,5,20,LKR,6.3619,81.5204,Bus from Ampara,January to April,null
94,Taprobane Island,Private island with luxurious villa,8,3,Free,N/A,5.9404,80.4523,Boat from Weligama,January to April,null
95,Sri Lanka Air Force Museum,Museum showcasing the history of the Sri Lankan Air Force,1,1,10,LKR,6.857,79.8736,Bus from Colombo,January to April,null
96,Colombo Lighthouse,Historic lighthouse with panoramic views,1,1,Free,N/A,6.9315,79.8417,Walking distance from Colombo Fort,November to April,null
97,Hummanaya Blow Hole,Natural blowhole with impressive water spouts,9,3,Free,N/A,6.04,80.7923,Bus from Tangalle,January to April,null
98,Star Fort,Historic fort with star-shaped design,8,3,Free,N/A,5.9423,80.5468,Bus from Matara,January to April,null
99,St. Clairs Falls,Scenic waterfall near Talawakele,6,2,Free,N/A,6.9364,80.7132,Bus from Nuwara Eliya,January to April,null
100,Red Mosque,Historic mosque with unique architecture,1,1,Free,N/A,6.9384,79.8524,Walking distance from Colombo Fort,November to April,null
