place_id,place_name,type,tags
52,Parakrama Samudra,Nature,"Scenic, Historical"
53,Mirijjawila Botanical Garden,Nature,"Scenic, Eco-Tourism"
54,Thalpe,Beach,"Relaxation, Scenic"
55,Dutch Canal,Historical,"Scenic, Boat Tours"
56,Ussangoda,Nature,"Scenic, Geological"
57,Diyaluma Falls,Nature,"Scenic, Hiking"
58,Kelani River,Adventure,"White-water Rafting, Nature"
59,Moon Plains,Nature,"Scenic, Wildlife"
60,Mask Museum,Cultural,"Traditional, Educational"
61,Ridi Vihara,Religious,"Historical, Cultural"
62,Independence Square,Historical,"Cultural, Educational"
63,Bellanwila Rajamaha Viharaya,Religious,"Pilgrimage, Cultural"
64,Talangama Wetland,Nature,"Bird Watching, Eco-Tourism"
65,Bentota Beach,Beach,"Water Sports, Relaxation"
66,Ravana Falls,Nature,"Scenic, Historical"
67,Thambapanni,Historical,"Cultural, Educational"
68,Kataragama,Religious,"Pilgrimage, Multi-religious"
69,Kanniya Hot Springs,Nature,"Therapeutic, Scenic"
70,Nilaveli Beach,Beach,"Relaxation, Water Sports"
71,Kok River,Nature,"Boat Safaris, Scenic"
72,Muhudu Maha Viharaya,Religious,"Historical, Scenic"
73,Passikudah Beach,Beach,"Water Sports, Relaxation"
74,Gal Vihara,Religious,"Historical, Cultural"
75,Lake Gregory,Nature,"Boating, Scenic"
76,Maduru Oya National Park,Wildlife,"Nature, Adventure"
77,Abhayagiriya Stupa,Religious,"Historical, Cultural"
78,Ritigala,Nature,"Scenic, Monastic"
79,Nallur Kandaswamy Kovil,Religious,"Pilgrimage, Festival"
80,Hakgala Botanical Garden,Nature,"Scenic, Relaxation"
81,Victoria Park,Nature,"Scenic, Relaxation"
82,Elephant Rock,Nature,"Scenic, Hiking"
83,Dutch Hospital Shopping,Urban,"Shopping, Dining"
84,Koggala Lake,Nature,"Bird Watching, Scenic"
85,Udawatta Kele Sanctuary,Nature,"Scenic, Wildlife"
86,Madhu Church,Religious,"Pilgrimage, Historical"
87,Brief Garden,Nature,"Scenic, Cultural"
88,Kalametiya Bird Sanctuary,Nature,"Bird Watching, Scenic"
89,Mannar Island,Nature,"Scenic, Bird Watching"
90,Pidurangala Rock,Nature,"Hiking, Scenic"
91,Mihintale,Religious,"Pilgrimage, Historical"
92,Bundala National Park,Wildlife,"Bird Watching, Nature"
93,Yala East National Park,Wildlife,"Nature, Adventure"
94,Taprobane Island,Nature,"Scenic, Luxury"
95,Sri Lanka Air Force Museum,Educational,"Historical, Military"
96,Colombo Lighthouse,Historical,"Scenic, Photography"
97,Hummanaya Blow Hole,Nature,"Scenic, Geological"
98,Star Fort,Historical,"Cultural, Educational"
99,St. Clairs Falls,Nature,"Scenic, Waterfall"
100,Red Mosque,Religious,"Historical, Cultural"
